trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.02, 'e': 0.13397619233034194}",20,0,17.62416566325479,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.02, 'e': 0.1285185541463177}",25,14,-12.758434155104332,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.02, 'e': 0.12326412507865277}",25,17,-4.690263023490676,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.02, 'e': 0.1182064726986424}",25,14,-21.383989405343915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.02, 'e': 0.11333929583222847}",20,14,9.60779942416125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.10865642728180215}",25,18,10.9041498150327,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.02, 'e': 0.10415183597632739}",20,11,17.468712451329647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.02, 'e': 0.09981962859871035}",20,0,-30.61384144384478,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.02, 'e': 0.09565405073583572}",25,15,11.235616216727136,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.02, 'e': 0.09164948759343833}",25,15,-5.897093325837807,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.0878004643149544}",25,11,24.482843038293137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.02, 'e': 0.08410164594068512}",20,0,1.8650805808451865,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.02, 'e': 0.08054783704098853}",20,14,14.890969174588943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.02, 'e': 0.07713398105477921}",30,7,19.67818110316553,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.07385515936234477}",25,5,25.12063822415981,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.07070659011937298}",30,0,44.777608878047516,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.02, 'e': 0.06768362687711046}",25,17,14.544023767623242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.02, 'e': 0.06478175701173404}",20,0,9.199675294536753,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.02, 'e': 0.06199659998429982}",20,9,20.366621431211495,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.05932390545103345}",25,17,14.863102937081605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.02, 'e': 0.05675955124223074}",25,13,20.559832898530964,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': 0.05429954122664327}",20,13,15.179541798728692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.051940003076921926}",20,14,11.181339925155978,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.02, 'e': 0.049677185950476634}",30,16,30.412204024452905,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.02, 'e': 0.047507458098977044}",25,10,27.35677121201828,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.02, 'e': 0.04542730441866109}",20,0,-14.545837586674487,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
89,False,"{'a': 0.02, 'e': 0.04343332395263149}",30,12,16.794728339742697,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.04152222735539995}",20,13,15.22067110455987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.02, 'e': 0.03969083432907999}",25,13,19.73788083906126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.02, 'e': 0.03793607103982945}",25,0,23.75365552273099,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.02, 'e': 0.036254967522397444}",20,11,-37.812670348386234,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.02, 'e': 0.03464465507993589}",20,5,23.57592206984916,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': 0.03310236368558825}",25,12,18.756198807868305,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': 0.03162541939176597}",25,12,26.110822787552664,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': 0.03021124175246232}",20,15,7.810530113268739,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
